component,gene_index,loading,abs_loading,novelty_weight,gene
8,843,0.17081681281823102,0.17081681281823102,0.9589794897448725,IGHA1
8,927,-0.16425828822559413,0.16425828822559413,0.8989494747373686,LAPTM5
8,433,0.13034197151267343,0.13034197151267343,0.6563281640820411,CYBA
8,594,-0.12983877104486521,0.12983877104486521,0.7813906953476738,EVL
8,544,0.11550850670155566,0.11550850670155566,0.6903451725862931,EIF4A1
8,844,-0.11523437234033397,0.11523437234033397,0.4827413706853426,IGHG1
8,203,0.11466605052606427,0.11466605052606427,0.8089044522261131,C6orf62
8,19,0.10951435038574922,0.10951435038574922,0.7648824412206103,ADAR
8,1586,-0.09698000933682743,0.09698000933682743,0.9034517258629314,SLC7A5
8,983,-0.09628633323867929,0.09628633323867929,0.47423711855927964,MAGED2
8,429,0.09297228669560807,0.09297228669560807,0.9119559779889945,CXCR4
8,698,-0.08819493957283286,0.08819493957283286,0.6583291645822911,GPI
8,612,-0.0863662123360874,0.0863662123360874,0.7668834417208604,FBXW5
8,933,0.08590138229553093,0.08590138229553093,0.9399699849924963,LDLRAD4
8,189,-0.08411103355148292,0.08411103355148292,0.8499249624812406,C15orf48
8,1725,0.08376089355994973,0.08376089355994973,0.56128064032016,TCF25
8,1653,0.08341536359452084,0.08341536359452084,0.47523761880940474,SRRM2
8,1477,0.08232940079722506,0.08232940079722506,0.8369184592296148,RNF167
