gene,fold_change,pvalue_adjusted,negative_log10_qvalue,significant,direction
CXCR5,0.00019756582056033173,0.9999999974159123,1.1222550396861084e-09,False,other
IL6R,-0.00015473772396459688,0.9999999974159123,1.1222550396861084e-09,False,other
FDPS,1.5642114548644614e-05,0.9999999974159123,1.1222550396861084e-09,False,other
FCRL3,-0.0002641643699511989,0.9999999974159123,1.1222550396861084e-09,False,other
VPS28,-0.00018790756491644106,0.9999999974159123,1.1222550396861084e-09,False,other
PTGER1,8.647105731743885e-05,0.9999999974159123,1.1222550396861084e-09,False,other
ORAI2,5.2038373282908834e-05,0.9999999974159123,1.1222550396861084e-09,False,other
SH2B2,-0.0012699285107879502,0.9999999974159123,1.1222550396861084e-09,False,other
RPL8,0.007981543117934087,0.9829012059269757,0.007490132093573721,False,other
NPHS1,-0.0006390876518411331,0.05038722354422189,1.2976795716431255,False,other
COX7A1,0.0002578641047473254,0.9999999974159123,1.1222550396861084e-09,False,other
CYGB,0.0003673619920751426,0.9999999974159123,1.1222550396861084e-09,False,other
FMNL3,0.0009222109750320201,0.9999999974159123,1.1222550396861084e-09,False,other
RACGAP1,0.0006455381917347368,0.9999999974159123,1.1222550396861084e-09,False,other
SPC24,0.00019151110562169033,0.9999999974159123,1.1222550396861084e-09,False,other
SCIMP,-0.00026753262989593317,0.9999999974159123,1.1222550396861084e-09,False,other
BCL6B,4.172276677855309e-05,0.9999999974159123,1.1222550396861084e-09,False,other
SNRNP25,7.054574281818368e-05,0.9999999974159123,1.1222550396861084e-09,False,other
CYB561A3,-0.0009012609996671694,0.9999999974159123,1.1222550396861084e-09,False,other
UBXN1,0.00019517089169861918,0.9999999974159123,1.1222550396861084e-09,False,other
SYVN1,-0.001000404541409844,0.9999999974159123,1.1222550396861084e-09,False,other
CMPK1,0.0001541948822867678,0.9999999974159123,1.1222550396861084e-09,False,other
BEND5,7.427017403072167e-05,0.9999999974159123,1.1222550396861084e-09,False,other
MAGOH,-0.0003386303780507499,0.9999999974159123,1.1222550396861084e-09,False,other
FAM151A,0.0025147627831275943,7.942673632407574e-11,10.100033282415545,True,other
RBP7,-5.611401314962528e-05,0.9999999974159123,1.1222550396861084e-09,False,other
