gene,hvg_score,svg_score,hvg_norm,svg_norm,final_weight,is_sc_hvg,selected_in_plugin
C8orf58,0.021048715979471305,0.007276624898358248,0.4084600531016172,0.4084600531016172,0.4084600531016172,False,0
CCAR2,0.060607582655175594,0.033106126178252364,0.5963673666425295,0.6380038619357953,0.6171856142891624,False,0
BIN3,0.05763067827614213,0.018422843612490854,0.5866521844074343,0.5121892348539705,0.5494207096307024,False,0
EGR3,0.19061176242098304,0.08176130149212424,0.853849867245957,0.8400917209751387,0.8469707941105479,True,0
PEBP4,0.0021332807314021177,0.0,0.21276852522326817,0.2035662563359884,0.2081673907796283,False,0
RHOBTB2,0.027623493784524264,0.06272527891226232,0.44750181028240404,0.7855418778662805,0.6165218440743423,False,0
TNFRSF10B,0.09906522205038144,0.013030306513156795,0.7149408641081342,0.4598720733767801,0.5874064687424572,False,0
TNFRSF10D,0.08351693802192331,0.018882172637723293,0.6707699734491914,0.5172580255853246,0.594013999517258,False,0
TNFRSF10A,0.06648565132233764,0.028938785455543074,0.617366642529568,0.606384262611634,0.6118754525706009,False,0
CHMP7,0.09726042917517742,0.07266144805618054,0.7099927588703838,0.8166183924692252,0.7633055756698045,False,0
R3HCC1,0.11000386877802625,0.0008955820651253764,0.738715906348057,0.35722906106685975,0.5479724837074583,False,0
LOXL2,0.10097032176555926,0.15123430780318212,0.7192251991310644,0.9277093893314023,0.8234672942312333,True,0
ENTPD4,0.09979708872438975,0.0493996779968122,0.7168718320057929,0.735034998793145,0.7259534153994689,False,0
SLC25A37,0.15884002851389828,0.01724642292081875,0.8191527878349022,0.5005430847212166,0.6598479362780594,False,0
NKX3-1,0.009796279775718487,0.0,0.32494569152787833,0.2035662563359884,0.26425597393193334,False,0
STC1,0.13742866545938082,0.07367949154281926,0.7900675838764181,0.8201786145305334,0.8051230992034757,True,0
ADAM28,0.14041130324278833,0.07304975329342196,0.7949553463673666,0.8179459328988655,0.8064506396331161,False,0
ADAMDEC1,0.027488340414554256,0.10276045087628048,0.4467173545739802,0.8769007965242578,0.661809075549119,True,0
NEFM,0.0071102752462485885,0.0,0.2959811730629978,0.2035662563359884,0.2497737146994931,True,0
NEFL,0.004711960890615918,0.0,0.2635771180304127,0.2035662563359884,0.23357168718320057,False,0
DOCK5,0.05130027243586397,0.02180776542827553,0.5607651460294473,0.5439295196717354,0.5523473328505913,False,0
GNRH1,0.005876579112857203,0.0,0.28011103065411536,0.2035662563359884,0.24183864349505188,False,0
KCTD9,0.05191286855626911,-0.016655147254088534,0.5634805696355298,0.004887762490948588,0.2841841660632392,False,0
CDCA2,0.008247983535321874,0.0,0.3088945208785904,0.2035662563359884,0.2562303886072894,False,0
EBF2,0.021777674748654614,0.0,0.4128047308713493,0.2035662563359884,0.30818549360366887,False,0
PPP2R2A,0.20717908916441155,0.03573686489232867,0.8689958966932175,0.6571928554187787,0.7630943760559981,False,0
BNIP3L,0.2873892671631405,0.06934499344962292,0.9178735216027033,0.8067825247405261,0.8623280231716147,False,0
PNMA2,0.007930909603171055,0.01940984407933476,0.30515327057687663,0.5215423606082549,0.4133478155925657,False,0
