scene,scene_index,group,marker_percentile
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8870065278209512
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8566987876903948
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8554553932235002
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9947155735156978
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9532172831830898
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9180913894933167
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9689151383276344
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9069008392912652
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9470003108486167
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8981970780230027
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8668013677339136
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9272614236866646
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9547715262667081
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8944668946223189
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8525023313646254
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9187130867267641
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9299036369288156
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8537457258315201
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9378302766552689
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.871774945601492
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9821262045383898
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9075225365247125
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9884986011812248
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.879079888094498
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9471557351569786
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9645632576935033
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8588747280074603
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8702207025178738
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8551445446067765
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9395399440472489
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9948709978240596
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8619832141746969
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8549891202984147
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8517252098228163
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9039477774323904
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8535903015231582
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9903636928815667
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9827479017718371
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9044140503574759
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9294373640037302
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9050357475909232
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9491762511656823
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9510413428660243
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9285048181535592
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9073671122163507
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.891669257071806
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8580976064656513
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.979328566987877
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9776188995958968
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9218215728940006
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9392290954305254
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8789244637861362
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8821883742617346
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9580354367423065
