rank,gene,stat,hit,running_es,CellType
8333,TRNAU1AP,0.0014166682958602905,False,0.38992160496820116,CD4 T cells
8334,ZNF397,0.0014148503541946411,False,0.38985116259006647,CD4 T cells
8335,LRRCC1,0.0014139451086521149,False,0.3897807202119318,CD4 T cells
8336,DNAJC12,0.0014070631004869938,False,0.3897102778337971,CD4 T cells
8337,GRIN3B,0.0014017883222550154,False,0.3896398354556624,CD4 T cells
8338,VEGFC,0.0014011525781825185,False,0.3895693930775277,CD4 T cells
8339,FAM216A,0.0013986974954605103,False,0.389498950699393,CD4 T cells
8340,TTYH1,0.0013902692589908838,False,0.3894285083212583,CD4 T cells
8341,SPI1,0.001389533281326294,False,0.3893580659431236,CD4 T cells
8342,VIT,0.0013821367174386978,False,0.3892876235649889,CD4 T cells
8343,SLC36A4,0.0013785883784294128,False,0.3892171811868542,CD4 T cells
8344,HSD17B14,0.0013767220079898834,False,0.38914673880871953,CD4 T cells
8345,BLOC1S2,0.0013743042945861816,False,0.38907629643058483,CD4 T cells
8346,NCKAP5,0.0013723308220505714,False,0.38900585405245014,CD4 T cells
8347,APOM,0.0013700146228075027,False,0.38893541167431545,CD4 T cells
8348,CLIC5,0.0013699233531951904,False,0.38886496929618075,CD4 T cells
8349,PNOC,0.0013635149225592613,False,0.38879452691804606,CD4 T cells
8350,FRMPD2,0.001360870897769928,False,0.38872408453991136,CD4 T cells
8351,TRPA1,0.001356133259832859,False,0.38865364216177667,CD4 T cells
8352,FBXL22,0.001355677843093872,False,0.388583199783642,CD4 T cells
8353,KIF13A,0.0013556554913520813,False,0.3885127574055073,CD4 T cells
8354,NLRX1,0.0013537555932998657,False,0.3884423150273726,CD4 T cells
8355,DNMBP,0.001352587714791298,False,0.3883718726492379,CD4 T cells
8356,LHFPL3,0.0013456231681630015,False,0.3883014302711032,CD4 T cells
8357,RASGEF1A,0.001344434916973114,False,0.3882309878929685,CD4 T cells
8358,C16orf89,0.0013427734375,False,0.3881605455148338,CD4 T cells
8359,HR,0.0013403394259512424,False,0.3880901031366991,CD4 T cells
8360,SAMD4B,0.0013382136821746826,False,0.3880196607585644,CD4 T cells
8361,DNAH5,0.0013371296226978302,False,0.38794921838042973,CD4 T cells
8362,FCRL5,0.0013346429914236069,False,0.38787877600229503,CD4 T cells
8363,ZNF25,0.0013345405459403992,False,0.38780833362416034,CD4 T cells
8364,ZNF230,0.0013328343629837036,False,0.38773789124602565,CD4 T cells
8365,SULT1C2,0.0013308040797710419,False,0.38766744886789095,CD4 T cells
8366,RNASEK-C17orf49,0.001322505995631218,False,0.38759700648975626,CD4 T cells
8367,SPTA1,0.001317185815423727,False,0.38752656411162156,CD4 T cells
8368,RUFY1,0.0013135820627212524,False,0.38745612173348687,CD4 T cells
8369,TTC7B,0.001312674954533577,False,0.3873856793553522,CD4 T cells
8370,MYO1A,0.0013056648895144463,False,0.3873152369772175,CD4 T cells
8371,TMEM59L,0.001300568925216794,False,0.3872447945990828,CD4 T cells
8372,SNCB,0.0012964935740455985,False,0.3871743522209481,CD4 T cells
8373,PLXNA2,0.0012922724708914757,False,0.3871039098428134,CD4 T cells
8374,HIST3H2A,0.0012893006205558777,False,0.3870334674646787,CD4 T cells
8375,R3HDM4,0.0012878477573394775,False,0.386963025086544,CD4 T cells
8376,EFNA4,0.0012837238609790802,False,0.3868925827084093,CD4 T cells
8377,TNFRSF1A,0.0012823790311813354,False,0.3868221403302746,CD4 T cells
8378,RGN,0.0012818134855479002,False,0.38675169795213993,CD4 T cells
8379,COX4I2,0.0012800534022971988,False,0.38668125557400523,CD4 T cells
8380,GHDC,0.0012768208980560303,False,0.38661081319587054,CD4 T cells
8381,CHRFAM7A,0.0012726662680506706,False,0.38654037081773585,CD4 T cells
8382,METTL14,0.0012703239917755127,False,0.38646992843960115,CD4 T cells
8383,WISP1,0.0012677516788244247,False,0.38639948606146646,CD4 T cells
8384,PROB1,0.0012636013561859727,False,0.38632904368333176,CD4 T cells
