file_path,file_type,file_size_mb,detected_role,read_success,n_rows,n_cols,candidate_reference,notes
data/processed/cytospace_fig2d_profile_mask/cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells/stage1_preprocess/exported/sc_expression_normalized.csv,csv,47.639,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_profile_mask/cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells/stage1_preprocess/exported/st_expression_normalized.csv,csv,67.289,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_profile_mask/cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells/stage1_preprocess/exported/sc_expression_normalized.csv,csv,45.212,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_profile_mask/cytospace_fig2d_tme_brca_her2_ffpe_profile_mask_t_cells/stage1_preprocess/exported/st_expression_normalized.csv,csv,42.274,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_profile_mask/cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts/stage1_preprocess/exported/sc_expression_normalized.csv,csv,51.43,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_profile_mask/cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts/stage1_preprocess/exported/st_expression_normalized.csv,csv,19.367,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_profile_mask/cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages/stage1_preprocess/exported/sc_expression_normalized.csv,csv,40.077,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_profile_mask/cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages/stage1_preprocess/exported/st_expression_normalized.csv,csv,46.884,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_er_her2_fresh_frozen/stage1_preprocess/exported/sc_expression_normalized.csv,csv,47.639,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_er_her2_fresh_frozen/stage1_preprocess/exported/st_expression_normalized.csv,csv,60.117,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_her2_ffpe/stage1_preprocess/exported/sc_expression_normalized.csv,csv,45.212,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_her2_ffpe/stage1_preprocess/exported/st_expression_normalized.csv,csv,38.079,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_tnbc_fresh_frozen/stage1_preprocess/exported/sc_expression_normalized.csv,csv,51.43,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_tnbc_fresh_frozen/stage1_preprocess/exported/st_expression_normalized.csv,csv,18.189,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_crc_fresh_frozen/stage1_preprocess/exported/sc_expression_normalized.csv,csv,40.077,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_crc_fresh_frozen/stage1_preprocess/exported/st_expression_normalized.csv,csv,43.269,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_tme_brca_er_her2_fresh_frozen/stage1_preprocess/exported/sc_expression_normalized.csv,csv,47.639,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_tme_brca_er_her2_fresh_frozen/stage1_preprocess/exported/st_expression_normalized.csv,csv,60.117,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells/stage1_preprocess/exported/sc_expression_normalized.csv,csv,47.639,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells/stage1_preprocess/exported/st_expression_normalized.csv,csv,67.289,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
data/processed/cytospace_fig2d_tme_brca_her2_ffpe/stage1_preprocess/exported/sc_expression_normalized.csv,csv,45.212,scRNA_expression,True,,2001.0,True,header read only for Phase 3 inventory
